Bulan,Tahun,Tanggal,Kurs,terbesar sejak?,21-Aug-2025
5,2019,29 May 2019,"Rp14,417.00",-,-14417
5,2019,31 May 2019,"Rp14,385.00",-,-14385
6,2019,10 June 2019,"Rp14,231.00",-,-14231
6,2019,11 June 2019,"Rp14,258.00",10 June 2019,-14258
6,2019,12 June 2019,"Rp14,234.00",10 June 2019,-14234
6,2019,13 June 2019,"Rp14,270.00",12 June 2019,-14270
6,2019,14 June 2019,"Rp14,304.00",13 June 2019,-14304
6,2019,17 June 2019,"Rp14,346.00",14 June 2019,-14346
6,2019,18 June 2019,"Rp14,334.00",14 June 2019,-14334
6,2019,19 June 2019,"Rp14,271.00",13 June 2019,-14271
6,2019,20 June 2019,"Rp14,236.00",12 June 2019,-14236
6,2019,21 June 2019,"Rp14,116.00",-,-14116
6,2019,24 June 2019,"Rp14,165.00",21 June 2019,-14165
6,2019,25 June 2019,"Rp14,138.00",21 June 2019,-14138
6,2019,26 June 2019,"Rp14,174.00",25 June 2019,-14174
6,2019,27 June 2019,"Rp14,180.00",26 June 2019,-14180
6,2019,28 June 2019,"Rp14,141.00",25 June 2019,-14141
7,2019,01 July 2019,"Rp14,117.00",21 June 2019,-14117
7,2019,02 July 2019,"Rp14,140.00",01 July 2019,-14140
7,2019,03 July 2019,"Rp14,160.00",02 July 2019,-14160
7,2019,04 July 2019,"Rp14,106.00",-,-14106
7,2019,05 July 2019,"Rp14,148.00",04 July 2019,-14148
7,2019,08 July 2019,"Rp14,147.00",04 July 2019,-14147
7,2019,09 July 2019,"Rp14,129.00",04 July 2019,-14129
7,2019,10 July 2019,"Rp14,152.00",09 July 2019,-14152
7,2019,11 July 2019,"Rp14,089.00",-,-14089
7,2019,12 July 2019,"Rp14,085.00",-,-14085
7,2019,15 July 2019,"Rp13,970.00",-,-13970
7,2019,16 July 2019,"Rp13,925.00",-,-13925
7,2019,17 July 2019,"Rp13,949.00",16 July 2019,-13949
7,2019,18 July 2019,"Rp13,976.00",17 July 2019,-13976
7,2019,19 July 2019,"Rp13,913.00",-,-13913
7,2019,22 July 2019,"Rp13,963.00",19 July 2019,-13963
7,2019,23 July 2019,"Rp13,973.00",22 July 2019,-13973
7,2019,24 July 2019,"Rp14,011.00",23 July 2019,-14011
7,2019,25 July 2019,"Rp13,986.00",23 July 2019,-13986
7,2019,26 July 2019,"Rp14,001.00",25 July 2019,-14001
7,2019,29 July 2019,"Rp14,010.00",26 July 2019,-14010
7,2019,30 July 2019,"Rp14,034.00",29 July 2019,-14034
7,2019,31 July 2019,"Rp14,026.00",29 July 2019,-14026
8,2019,01 August 2019,"Rp14,098.00",31 July 2019,-14098
8,2019,02 August 2019,"Rp14,203.00",01 August 2019,-14203
8,2019,05 August 2019,"Rp14,231.00",02 August 2019,-14231
8,2019,06 August 2019,"Rp14,344.00",05 August 2019,-14344
8,2019,07 August 2019,"Rp14,275.00",05 August 2019,-14275
8,2019,08 August 2019,"Rp14,231.00",02 August 2019,-14231
8,2019,09 August 2019,"Rp14,195.00",01 August 2019,-14195
8,2019,12 August 2019,"Rp14,220.00",09 August 2019,-14220
8,2019,13 August 2019,"Rp14,283.00",12 August 2019,-14283
8,2019,14 August 2019,"Rp14,234.00",12 August 2019,-14234
8,2019,15 August 2019,"Rp14,296.00",14 August 2019,-14296
8,2019,16 August 2019,"Rp14,258.00",14 August 2019,-14258
8,2019,19 August 2019,"Rp14,203.00",09 August 2019,-14203
8,2019,20 August 2019,"Rp14,262.00",19 August 2019,-14262
8,2019,21 August 2019,"Rp14,259.00",19 August 2019,-14259
8,2019,22 August 2019,"Rp14,234.00",19 August 2019,-14234
8,2019,23 August 2019,"Rp14,249.00",22 August 2019,-14249
8,2019,26 August 2019,"Rp14,261.00",23 August 2019,-14261
8,2019,27 August 2019,"Rp14,235.00",22 August 2019,-14235
8,2019,28 August 2019,"Rp14,263.00",27 August 2019,-14263
8,2019,29 August 2019,"Rp14,254.00",27 August 2019,-14254
8,2019,30 August 2019,"Rp14,237.00",27 August 2019,-14237
9,2019,02 September 2019,"Rp14,190.00",01 August 2019,-14190
9,2019,03 September 2019,"Rp14,217.00",02 September 2019,-14217
9,2019,04 September 2019,"Rp14,218.00",03 September 2019,-14218
9,2019,05 September 2019,"Rp14,153.00",01 August 2019,-14153
9,2019,06 September 2019,"Rp14,140.00",01 August 2019,-14140
9,2019,09 September 2019,"Rp14,092.00",31 July 2019,-14092
9,2019,10 September 2019,"Rp14,031.00",31 July 2019,-14031
9,2019,11 September 2019,"Rp14,063.00",10 September 2019,-14063
9,2019,12 September 2019,"Rp14,052.00",10 September 2019,-14052
9,2019,13 September 2019,"Rp13,950.00",19 July 2019,-13950
9,2019,16 September 2019,"Rp14,020.00",13 September 2019,-14020
9,2019,17 September 2019,"Rp14,100.00",16 September 2019,-14100
9,2019,18 September 2019,"Rp14,080.00",16 September 2019,-14080
